"user_id","first_event_at","last_event_at","events_count"
"47fc1ec2-4dc2-4b70-9df2-d1864152102d","2026-03-19 16:40:57","2026-03-23 18:35:26",16
"90a8d48d-8900-46cf-875a-25883a94c1c8","2026-03-19 16:41:08","2026-03-19 16:41:08",1
"eb39e8e2-3fd1-43ff-9cfa-fcf8ec221852","2026-03-19 16:47:49","2026-03-19 16:47:49",1
"fdc9ca3a-db2e-4150-8279-5ac0eb1bb797","2026-03-19 16:47:50","2026-03-19 16:47:50",1
"afcb3a69-04ab-403f-8952-255004ecec5f","2026-03-19 16:51:17","2026-03-19 16:51:17",1
"47560f1a-ab69-41e0-a1bb-40a5d2c277dd","2026-03-19 16:51:18","2026-03-19 16:51:18",1
"105cc073-cf9e-4d86-a7cd-2cba0e031935","2026-03-19 18:40:26","2026-03-21 08:23:35",34
"0a1e05ae-f9b2-46a1-82d3-79f56fe8dba7","2026-03-19 18:42:24","2026-03-21 08:36:04",59
"6fe027c0-33c3-4f26-8a16-407945524a56","2026-03-20 19:23:30","2026-03-20 19:23:30",1
"ce076d37-0030-431c-9d5f-61aadbb0aba4","2026-03-20 19:23:30","2026-03-20 19:23:30",1
"703af6fc-8a37-4a4b-9d5c-0a78343142b2","2026-03-20 19:47:49","2026-03-21 08:05:41",16
"0ce5ad2f-da98-475a-a994-3931fad03cca","2026-03-20 19:47:50","2026-03-21 18:00:25",22
"fcf2de5c-5718-417b-b5c5-45b9a939dbb0","2026-03-20 19:52:33","2026-03-20 19:52:33",1
"3a1543dd-713e-4a8e-afd9-c940945b6e1f","2026-03-20 19:52:38","2026-03-20 19:53:20",55
"1ee608ef-98a7-4401-ba30-519870f44562","2026-03-21 05:56:36","2026-03-21 05:57:59",26
"67a273e1-c442-4299-8790-9b78993465bf","2026-03-21 05:57:27","2026-03-21 05:59:28",24
"930b838e-be93-451b-9ecd-7350503418b5","2026-03-21 05:58:14","2026-03-21 05:59:35",2
"003f0c5c-a60d-4ca5-9a5b-9381fa44cc8b","2026-03-21 08:05:54","2026-03-21 18:00:26",39
"aaec3691-788e-4973-b230-6bbe79b2c94e","2026-03-21 08:21:52","2026-03-21 08:24:05",25
"8bea2f4d-7f62-497a-b8f2-c0ce376e9832","2026-03-21 08:28:37","2026-03-21 08:28:37",1
"1d82d16f-cb31-48f1-897b-7811ff92c1b9","2026-03-21 08:28:42","2026-03-21 08:28:45",6
"e5ab982b-0349-445e-99a0-f8a020a39ce9","2026-03-21 09:18:57","2026-03-21 09:18:57",1
"65e725c4-6699-4322-8c8b-919b3f075c87","2026-03-21 09:19:03","2026-03-21 09:21:04",24
"209dc8b9-3891-4f76-b241-dbabfb8f4fd5","2026-03-21 09:19:53","2026-03-21 09:23:53",28
"ef776084-c0dd-4069-9ad9-366fd9badbcf","2026-03-21 09:50:21","2026-03-21 10:03:02",39
"2a92dce0-7677-4ebe-9572-d85ee46403d6","2026-03-21 09:55:33","2026-03-21 09:57:22",23
"95f8e451-1bc3-4f10-b42b-711f6df89dc5","2026-03-21 09:58:05","2026-03-21 10:03:48",122
"a88dd961-9e82-4bc8-a08b-4417e733c98c","2026-03-21 10:32:46","2026-03-21 10:32:46",1
"52ebb957-9098-4dd6-b26a-a7f1a7b825f2","2026-03-21 11:35:28","2026-03-21 11:35:28",1
"85d55bec-10c9-4e64-b128-5cfe280c411d","2026-03-21 12:58:52","2026-03-21 12:58:52",1
"20eca953-bde9-42d6-8f06-51074344c4a3","2026-03-21 21:05:52","2026-03-21 21:05:52",1
"d2ba1a74-9223-4225-831f-53c36f644490","2026-03-21 22:50:41","2026-03-21 22:50:41",1
"16081af5-ca51-41a9-94fb-fa64c02e6eb8","2026-03-22 09:01:10","2026-03-22 09:02:00",26
"38811db3-4d3f-46d0-815c-1fd471c88376","2026-03-22 10:20:16","2026-03-22 10:22:02",26
