"event","events_count","users_count"
"page_view",530,57
"quiz_answer",311,29
"quiz_start",58,29
"result_view",38,29
"dashboard_view",35,8
"quiz_complete",33,29
"recommendations_view",31,26
"habit_toggle",28,4
"recommendations_open_from_result",22,21
"tracker_view",17,6
"habit_add",10,4
"sign_in_success",10,7
"sign_up_error",9,4
"dashboard_open",8,7
"sign_up_success",7,7
"recommendations_open_from_dashboard",7,6
"feedback_submit",5,3
"pdf_export",5,3
"sign_in_error",4,3
"habit_delete",3,2
